lote_interno,coste_componente_unitario,componente
1910-101,1.37,MAT021
1911-016,1.37,MAT021
1911-020,1.37,MAT021
1911-096,1.37,MAT021
1912-015,1.37,MAT021
1912-031,1.37,MAT021
1912-060,1.37,MAT021
1912-077,1.37,MAT021
1912-093,1.37,MAT021
2001-031,1.37,MAT021
2001-043,1.37,MAT021
2001-070,1.37,MAT021
2002-007,1.37,MAT021
2002-012,1.37,MAT021
2002-034,1.37,MAT021
2002-054,1.37,MAT021
2002-068,1.37,MAT021
2003-016,1.37,MAT021
2004-001,1.37,MAT021
2004-002,1.37,MAT021
2005-009,1.37,MAT021
2005-029,1.37,MAT021
2007-003,1.37,MAT021
2007-004,1.37,MAT021
2007-021,1.37,MAT021
2007-026,1.37,MAT021
2007-043,1.37,MAT021
2007-064,1.37,MAT021
2008-021,1.37,MAT021
2008-030,1.37,MAT021
2008-059,1.37,MAT021
2009-001,1.37,MAT021
2009-009,1.37,MAT021
2009-020,1.37,MAT021
2009-028,1.37,MAT021
2009-057,1.37,MAT021
2010-017,1.37,MAT021
2010-033,1.37,MAT021
2011-006,1.37,MAT021
2011-043,1.37,MAT021
2012-017,1.37,MAT021
2012-020,1.37,MAT021
2012-035,1.37,MAT021
2012-038,1.37,MAT021
2012-057,1.37,MAT021
2101-008,1.37,MAT021
2101-027,1.37,MAT021
2102-001,1.37,MAT021
2102-045,1.37,MAT021
2103-003,1.37,MAT021
2103-030,1.37,MAT021
2103-037,1.37,MAT021
2103-051,1.37,MAT021
2104-013,1.37,MAT021
2104-024,1.37,MAT021
2104-040,1.37,MAT021
2104-065,1.37,MAT021
2105-024,1.37,MAT021
2105-029,1.37,MAT021
2105-100,1.37,MAT021
2105-117,1.37,MAT021
2106-017,1.37,MAT021
2106-047,1.37,MAT021
2106-064,1.37,MAT021
2106-087,1.37,MAT021
2107-019,1.37,MAT021
2107-051,1.37,MAT021
2107-068,1.37,MAT021
2108-027,1.37,MAT021
2108-085,1.37,MAT021
2108-102,1.37,MAT021
2109-033,1.37,MAT021
2109-093,1.37,MAT021
2110-050,1.37,MAT021
2110-105,1.37,MAT021
2111-049,1.37,MAT021
2111-052,1.37,MAT021
2111-101,1.37,MAT021
2111-155,1.37,MAT021
2112-023,1.37,MAT021
2112-074,1.37,MAT021
2201-049,1.62,MAT021
2202-033,1.62,MAT021
2202-069,1.62,MAT021
2202-070,1.62,MAT021
2202-111,1.62,MAT021
2202-119,1.62,MAT021
2202-148,1.62,MAT021
2203-027,1.62,MAT021
2203-047,1.62,MAT021
2203-093,1.62,MAT021
2203-146,1.62,MAT021
2204-003,1.62,MAT021
2204-095,1.6199,MAT021
2205-018,2.35,MAT021
2205-080,2.358,MAT021
2205-092,2.35,MAT021
2206-003,2.35,MAT021
2206-066,2.35,MAT021
2206-114,2.05,MAT021
2207-056,2.05,MAT021
2208-007,2.05,MAT021
2208-112,2.05,MAT021
2209-043,2.05,MAT021
2209-114,2.05,MAT021
2210-054,2.05,MAT021
2210-088,2.3,MAT021
2211-024,2.3,MAT021
2211-068,2.3,MAT021
2212-008,2.3,MAT021
2212-033,2.3,MAT021
2212-086,2.6,MAT021
2301-016,2.6,MAT021
2301-074,2.6,MAT021
2302-049,2.6,MAT021
2303-010,2.6,MAT021
2303-086,2.95,MAT021
2304-054,2.95,MAT021
2305-025,2.95,MAT021
2305-058,2.95,MAT021
2305-086,2.95,MAT021
2306-037,2.95,MAT021
2306-067,2.95,MAT021
2307-014,2.95,MAT021
2307-053,2.3,MAT021
2307-066,2.3,MAT021
2307-101,2.3,MAT021
2308-009,2.3,MAT021
2308-085,2.3,MAT021
2309-030,2.3,MAT021
2309-066,2.3,MAT021
2309-113,2.3,MAT021
2310-085,2.3,MAT021
2311-014,2.3,MAT021
2311-060,2.3,MAT021
2311-111,2.3,MAT021
2312-005,2.3,MAT021
2312-108,2.1,MAT021
2401-042,2.1,MAT021
2401-089,2.1,MAT021
2402-068,2.1,MAT021
2402-088,2.1,MAT021
2403-011,2.1,MAT021
2403-089,2.1,MAT021
2404-032,2.1,MAT021
2404-074,2.1,MAT021
2404-093,2.1,MAT021
2405-030,2.1,MAT021
2405-086,2.1,MAT021
2406-028,2.1,MAT021
2406-095,2.1,MAT021
2407-038,2.1,MAT021
2407-096,2.1,MAT021
2407-123,2.1,MAT021
2408-023,2.1,MAT021
2408-080,2.1,MAT021
2409-008,2.1,MAT021
2409-103,2.1,MAT021
2410-004,2.1,MAT021
2410-042,2.1,MAT021
2410-108,2.1,MAT021
2411-015,2.1,MAT021
2411-065,2.5,MAT021
2411-085,2.5,MAT021
2412-069,2.7,MAT021
2412-072,2.5,MAT021
2412-099,2.7,MAT021
2412-106,2.5,MAT021
2501-023,2.7,MAT021
2501-041,2.5,MAT021
2501-093,2.5,MAT021
2502-062,2.5,MAT021
2503-024,2.5,MAT021
2503-042,2.5,MAT021
2503-131,2.5,MAT021
2504-027,2.5,MAT021
2208-076,1.8137206572769953,MAT021
2208-087,1.8137206572769953,MAT021
2208-096,1.8137206572769953,MAT021
1910-053,2.35,MAT022
2002-059,2.35,MAT022
2010-030,2.35,MAT022
1911-036,20.0,MAT023
1911-093,20.0,MAT023
2001-021,20.0,MAT023
2008-039,20.0,MAT023
2011-034,20.0,MAT023
1909-054,38.1,MAT024
2001-049,38.1,MAT024
1901-074,27.25,MAT025
1910-012,40.08,MAT025
2001-040,51.25,MAT025
2001-050,48.79,MAT025
1909-065,0.5054,MAT026
2010-044,0.5054,MAT026
2106-061,0.5549,MAT026
2109-032,0.5549,MAT026
2111-095,0.5549,MAT026
2203-057,0.5549,MAT026
2205-138,0.5549,MAT026
2207-049,0.5549,MAT026
2208-129,0.5903,MAT026
2211-073,0.5903,MAT026
2303-063,0.7006,MAT026
2305-068,0.7006,MAT026
2308-017,0.7006,MAT026
2311-051,0.7006,MAT026
2402-043,0.7006,MAT026
2405-049,0.7006,MAT026
2408-032,0.7006,MAT026
2412-043,0.7006,MAT026
2503-033,0.7006,MAT026
1905-096,0.6224315789473684,MAT026
1904-039,0.8,MAT027
1910-081,0.8,MAT027
1912-080,0.8,MAT027
2003-010,0.8,MAT027
2008-062,0.8,MAT027
2012-034,0.8,MAT027
2104-063,0.8,MAT027
2107-024,0.8,MAT027
2109-039,0.8,MAT027
2110-141,0.8,MAT027
2112-053,0.8,MAT027
2203-019,0.8,MAT027
2203-116,0.8,MAT027
2204-070,0.8,MAT027
2205-095,0.8009,MAT027
2206-131,0.8009,MAT027
2209-034,0.8,MAT027
2209-079,0.8009,MAT027
2210-113,0.8009,MAT027
2211-052,0.8009,MAT027
2301-017,0.8009,MAT027
2302-105,0.8009,MAT027
2303-053,0.809,MAT027
2305-124,0.809,MAT027
2307-091,0.809,MAT027
2308-086,0.809,MAT027
2309-008,0.809,MAT027
2310-110,0.809,MAT027
2311-127,0.809,MAT027
2312-099,0.809,MAT027
2402-101,0.809,MAT027
2403-059,0.809,MAT027
2404-079,0.809,MAT027
2405-138,0.809,MAT027
2407-019,0.809,MAT027
2409-032,0.809,MAT027
2410-037,0.809,MAT027
2410-104,0.809,MAT027
2411-026,0.809,MAT027
2501-100,0.809,MAT027
2503-046,0.809,MAT027
2207-053,0.8168209302325582,MAT027
1906-064,0.804621926910299,MAT027
1908-056,0.804621926910299,MAT027
1910-107,5.7136,MAT028
1911-004,5.5866,MAT028
1911-095,5.8,MAT028
2011-074,5.8,MAT028
2111-159,5.8533,MAT028
2204-021,5.8533,MAT028
2204-024,5.8533,MAT028
2204-059,5.8533,MAT028
2205-058,5.8556,MAT028
2205-099,6.0667,MAT028
2206-047,5.8533,MAT028
2207-001,5.8533,MAT028
2208-023,6.0667,MAT028
2209-054,5.3926,MAT028
2209-109,6.0667,MAT028
2210-094,6.0667,MAT028
2211-033,6.0667,MAT028
2211-060,6.0667,MAT028
2208-092,5.8182210526315785,MAT028
2203-129,5.867716897506925,MAT028
1901-042,0.68,MAT030
1901-065,0.68,MAT030
1904-007,0.6,MAT030
1904-022,0.54,MAT030
1907-040,0.6,MAT030
1909-013,0.4,MAT030
1903-014,3.15,MAT032
1911-022,3.599,MAT032
2001-052,3.599,MAT032
2003-006,4.099,MAT032
1901-002,0.5328,MAT033
1901-021,0.532,MAT033
1901-054,0.532,MAT033
1902-005,0.5008,MAT033
1902-050,0.5328,MAT033
1902-062,0.5328,MAT033
1903-020,0.5328,MAT033
1903-033,0.5328,MAT033
1904-058,0.5328,MAT033
1905-002,0.5328,MAT033
1905-035,0.5328,MAT033
1905-079,0.5328,MAT033
1906-002,0.5328,MAT033
1906-034,0.5328,MAT033
1907-006,0.5328,MAT033
1907-008,0.5328,MAT033
1907-025,0.558,MAT033
1908-016,0.65,MAT033
1908-031,0.65,MAT033
1908-047,0.65,MAT033
1909-025,0.611,MAT033
1909-094,0.65,MAT033
1910-043,0.7192,MAT033
1911-002,0.676,MAT033
1912-014,0.5868,MAT033
1912-022,0.7192,MAT033
1912-086,0.7192,MAT033
2002-003,0.7192,MAT033
2003-008,0.7192,MAT033
2003-028,0.7192,MAT033
2005-011,0.676,MAT033
2007-001,0.676,MAT033
2007-045,0.676,MAT033
2008-045,0.65,MAT033
2009-013,0.65,MAT033
2009-056,0.65,MAT033
2011-026,0.65,MAT033
2101-003,0.65,MAT033
2103-059,0.65,MAT033
2104-053,0.65,MAT033
2105-111,0.65,MAT033
2106-034,0.65,MAT033
2106-075,0.65,MAT033
2107-076,0.65,MAT033
