articulo,lote_proveedor,lote_interno,linea
FPER050,011024,011024,PRODUCTO ACABADO
SEM123,011024,011024,SEMIELABORADO
FCAR024,011121,011121,PRODUCTO ACABADO
FCAR002,011121,011121,PRODUCTO ACABADO
FPOS009,011121,011121,PRODUCTO ACABADO
SEM047,011121,011121,SEMIELABORADO
SEM053,011122,011122,SEMIELABORADO
SEM046,011123,011123,SEMIELABORADO
SEM005,011123,011123,SEMIELABORADO
SEM020,011220,011220,SEMIELABORADO
SCRE011,011220,011220,PRODUCTO ACABADO
SCRE015,011220,011220,PRODUCTO ACABADO
SCCO002,011220,011220,PRODUCTO ACABADO
FPOS009,011220,011220,PRODUCTO ACABADO
SEM053,011220,011220,SEMIELABORADO
SEM046,011220,011220,SEMIELABORADO
SCRE034,011221,011221,PRODUCTO ACABADO
SCRE035,011221,011221,PRODUCTO ACABADO
SCRE041,011221,011221,PRODUCTO ACABADO
FCAR015,011221,011221,PRODUCTO ACABADO
SCRE031,011221,011221,PRODUCTO ACABADO
SCRE038,011221,011221,PRODUCTO ACABADO
FCAR016,011221,011221,PRODUCTO ACABADO
SCRE037,011221,011221,PRODUCTO ACABADO
SCRE033,011221,011221,PRODUCTO ACABADO
SCRE010,011221,011221,PRODUCTO ACABADO
SEM074,011221,011221,SEMIELABORADO
SCRE026,011221,011221,PRODUCTO ACABADO
SEM078,011221,011221,SEMIELABORADO
SEM089,011221,011221,SEMIELABORADO
SEM087,011221,011221,SEMIELABORADO
SEM075,011221,011221,SEMIELABORADO
SEM088,011221,011221,SEMIELABORADO
SEM086,011221,011221,SEMIELABORADO
SCCO008,011222,011222,PRODUCTO ACABADO
SEM088,011222,011222,SEMIELABORADO
SEM086,011222,011222,SEMIELABORADO
SCRE038,011222,011222,PRODUCTO ACABADO
SCRE047,011222,011222,PRODUCTO ACABADO
SEM087,011222,011222,SEMIELABORADO
SCRE052,011222,011222,PRODUCTO ACABADO
SCRE042,011222,011222,PRODUCTO ACABADO
FCAR001,011223,011223,PRODUCTO ACABADO
SCRE062,011223,011223,PRODUCTO ACABADO
SCRE047,011223,011223,PRODUCTO ACABADO
SCRE059,011223,011223,PRODUCTO ACABADO
SEM115,011223,011223,SEMIELABORADO
SCRE060,011223,011223,PRODUCTO ACABADO
SCRE061,011223,011223,PRODUCTO ACABADO
SEM118,011223,011223,SEMIELABORADO
SCRE063,011223,011223,PRODUCTO ACABADO
SEM116,011223,011223,SEMIELABORADO
SEM113,011223,011223,SEMIELABORADO
SEM117,011223,011223,SEMIELABORADO
SCRE036,011224,011224,PRODUCTO ACABADO
MAT180,0141218,0141218,PRODUCTO ACABADO
MAT071,0151218,0151218,PRODUCTO ACABADO
MAT331,0173,0173,PRODUCTO ACABADO
FCAR003,020119,020119,PRODUCTO ACABADO
SEM001,020119,020119,SEMIELABORADO
FCAR018,020119,020119,PRODUCTO ACABADO
FCAR031,020119,020119,PRODUCTO ACABADO
SEM020,020119,020119,SEMIELABORADO
SCRE007,020119,020119,PRODUCTO ACABADO
FGRA001,020119,020119,PRODUCTO ACABADO
FCAR024,020119,020119,PRODUCTO ACABADO
FPOS008,020119,020119,PRODUCTO ACABADO
FGRA002,020119,020119,PRODUCTO ACABADO
FPES001,020119,020119,PRODUCTO ACABADO
FCAR006,020120,020120,PRODUCTO ACABADO
FCAR005,020120,020120,PRODUCTO ACABADO
SEM044,020120,020120,SEMIELABORADO
FPES001,020120,020120,PRODUCTO ACABADO
MAT035,0201218,0201218,PRODUCTO ACABADO
SCRE044,020123,020123,PRODUCTO ACABADO
SCRE049,020123,020123,PRODUCTO ACABADO
SCRE048,020123,020123,PRODUCTO ACABADO
SCRE010,020123,020123,PRODUCTO ACABADO
SCRE050,020123,020123,PRODUCTO ACABADO
FPOS008,020123,020123,PRODUCTO ACABADO
SCRE051,020123,020123,PRODUCTO ACABADO
FPOS009,020123,020123,PRODUCTO ACABADO
SCRE045,020123,020123,PRODUCTO ACABADO
SEM085,020123,020123,SEMIELABORADO
SEM053,020123,020123,SEMIELABORADO
FCAR008,020123,020123,PRODUCTO ACABADO
ELAB005,020124,020124,PRODUCTO ACABADO
FCAR002,020124,020124,PRODUCTO ACABADO
SEM095,020124,020124,SEMIELABORADO
SCRE036,020125,020125,PRODUCTO ACABADO
SCRE048,020125,020125,PRODUCTO ACABADO
SEM046,020125,020125,SEMIELABORADO
SCRE049,020125,020125,PRODUCTO ACABADO
SCRE010,020125,020125,PRODUCTO ACABADO
SCRE068,020125,020125,PRODUCTO ACABADO
SEM071,020125,020125,SEMIELABORADO
SCRE018,020221,020221,PRODUCTO ACABADO
SCRE012,020221,020221,PRODUCTO ACABADO
SEM046,020221,020221,SEMIELABORADO
SCRE011,020221,020221,PRODUCTO ACABADO
SCRE019,020221,020221,PRODUCTO ACABADO
SCRE017,020221,020221,PRODUCTO ACABADO
SCRE014,020221,020221,PRODUCTO ACABADO
SCRE013,020221,020221,PRODUCTO ACABADO
SCRE037,020222,020222,PRODUCTO ACABADO
SCRE010,020222,020222,PRODUCTO ACABADO
FCAR019,020222,020222,PRODUCTO ACABADO
SEM005,020222,020222,SEMIELABORADO
SCRE031,020222,020222,PRODUCTO ACABADO
SEM083,020222,020222,SEMIELABORADO
SEM074,020222,020222,SEMIELABORADO
SEM087,020222,020222,SEMIELABORADO
SCRE019,020222,020222,PRODUCTO ACABADO
SCRE044,020222,020222,PRODUCTO ACABADO
SCRE045,020222,020222,PRODUCTO ACABADO
SEM086,020223,020223,SEMIELABORADO
FPES004,020223,020223,PRODUCTO ACABADO
SEM101,020223,020223,SEMIELABORADO
SCRE047,020223,020223,PRODUCTO ACABADO
SEM087,020223,020223,SEMIELABORADO
SCRE038,020223,020223,PRODUCTO ACABADO
FCAR041,020223,020223,PRODUCTO ACABADO
SEM088,020223,020223,SEMIELABORADO
SCRE052,020223,020223,PRODUCTO ACABADO
SEM085,020224,020224,SEMIELABORADO
SEM118,020224,020224,SEMIELABORADO
SCRE036,020225,020225,PRODUCTO ACABADO
FCAR031,020225,020225,PRODUCTO ACABADO
FCAR002,020225,020225,PRODUCTO ACABADO
SEM085,020225,020225,SEMIELABORADO
SEM101,020225,020225,SEMIELABORADO
SCRE046,020225,020225,PRODUCTO ACABADO
SCRE042,020225,020225,PRODUCTO ACABADO
SEM102,020225,020225,SEMIELABORADO
FCAR024,020225,020225,PRODUCTO ACABADO
FPER053,020225,020225,PRODUCTO ACABADO
FCAR005,020319,020319,PRODUCTO ACABADO
FCAR002,020320,020320,PRODUCTO ACABADO
FCAR019,020320,020320,PRODUCTO ACABADO
SEM005,020320,020320,SEMIELABORADO
SCCO002,020320,020320,PRODUCTO ACABADO
FCAR017,020320,020320,PRODUCTO ACABADO
FCAR024,020320,020320,PRODUCTO ACABADO
FCAR031,020320,020320,PRODUCTO ACABADO
FPOS008,020320,020320,PRODUCTO ACABADO
SCRE025,020321,020321,PRODUCTO ACABADO
SCRE022,020321,020321,PRODUCTO ACABADO
SEM053,020321,020321,SEMIELABORADO
SCRE020,020321,020321,PRODUCTO ACABADO
SCRE026,020321,020321,PRODUCTO ACABADO
SEM046,020321,020321,SEMIELABORADO
SEM093,020322,020322,SEMIELABORADO
SCRE045,020322,020322,PRODUCTO ACABADO
SCRE010,020322,020322,PRODUCTO ACABADO
SEM085,020322,020322,SEMIELABORADO
SCRE044,020322,020322,PRODUCTO ACABADO
FPOS008,020322,020322,PRODUCTO ACABADO
FPER035,020322,020322,PRODUCTO ACABADO
SEM095,020322,020322,SEMIELABORADO
SCRE054,020323,020323,PRODUCTO ACABADO
SEM088,020323,020323,SEMIELABORADO
SEM101,020323,020323,SEMIELABORADO
SEM086,020323,020323,SEMIELABORADO
SCRE047,020323,020323,PRODUCTO ACABADO
SEM087,020323,020323,SEMIELABORADO
SCRE052,020323,020323,PRODUCTO ACABADO
SCRE038,020323,020323,PRODUCTO ACABADO
FCAR019,020324,020324,PRODUCTO ACABADO
SEM005,020324,020324,SEMIELABORADO
SEM071,020324,020324,SEMIELABORADO
FCAR047,020325,020325,PRODUCTO ACABADO
SCRE047,020325,020325,PRODUCTO ACABADO
SEM095,020325,020325,SEMIELABORADO
SEM127,020325,020325,SEMIELABORADO
FPOS005,020325,020325,PRODUCTO ACABADO
SCRE046,020325,020325,PRODUCTO ACABADO
FCAR001,020419,020419,PRODUCTO ACABADO
SEM009,020419,020419,SEMIELABORADO
SEM033,020419,020419,SEMIELABORADO
FCAR034,020419,020419,PRODUCTO ACABADO
FCAR021,020419,020419,PRODUCTO ACABADO
SEM082,020422,020422,SEMIELABORADO
SEM101,020424,020424,SEMIELABORADO
SEM096,020424,020424,SEMIELABORADO
SEM127,020424,020424,SEMIELABORADO
FPOS005,020424,020424,PRODUCTO ACABADO
SCRE048,020424,020424,PRODUCTO ACABADO
SCRE049,020424,020424,PRODUCTO ACABADO
SCRE047,020424,020424,PRODUCTO ACABADO
SCRE010,020424,020424,PRODUCTO ACABADO
SEM005,020424,020424,SEMIELABORADO
ELAB005,020424,020424,PRODUCTO ACABADO
SEM047,020424,020424,SEMIELABORADO
SEM100,020424,020424,SEMIELABORADO
SCRE036,020425,020425,PRODUCTO ACABADO
SEM072,020425,020425,SEMIELABORADO
SCRE070,020425,020425,PRODUCTO ACABADO
FCAR008,020425,020425,PRODUCTO ACABADO
SCRE049,020425,020425,PRODUCTO ACABADO
FCAR031,020425,020425,PRODUCTO ACABADO
SCRE047,020425,020425,PRODUCTO ACABADO
SCRE010,020425,020425,PRODUCTO ACABADO
SCRE048,020425,020425,PRODUCTO ACABADO
SEM125,020425,020425,SEMIELABORADO
SCRE046,020425,020425,PRODUCTO ACABADO
SEM124,020425,020425,SEMIELABORADO
SCRE072,020425,020425,PRODUCTO ACABADO
FCAR003,020519,020519,PRODUCTO ACABADO
FGUA005,020519,020519,PRODUCTO ACABADO
FGRA001,020519,020519,PRODUCTO ACABADO
SEM005,020519,020519,SEMIELABORADO
FPOS009,020519,020519,PRODUCTO ACABADO
SCRE049,020522,020522,PRODUCTO ACABADO
SCRE010,020522,020522,PRODUCTO ACABADO
FCAR024,020522,020522,PRODUCTO ACABADO
FCAR002,020522,020522,PRODUCTO ACABADO
FPOS009,020522,020522,PRODUCTO ACABADO
SCRE048,020522,020522,PRODUCTO ACABADO
SEM085,020523,020523,SEMIELABORADO
SEM053,020523,020523,SEMIELABORADO
SEM095,020523,020523,SEMIELABORADO
SEM094,020523,020523,SEMIELABORADO
FPOS015,020523,020523,PRODUCTO ACABADO
SCRE048,020524,020524,PRODUCTO ACABADO
FPOS015,020524,020524,PRODUCTO ACABADO
FCAR024,020524,020524,PRODUCTO ACABADO
SCRE058,020524,020524,PRODUCTO ACABADO
SCRE049,020524,020524,PRODUCTO ACABADO
SEM102,020524,020524,SEMIELABORADO
SEM125,020524,020524,SEMIELABORADO
SCCO013,020524,020524,PRODUCTO ACABADO
SEM124,020524,020524,SEMIELABORADO
SCRE010,020524,020524,PRODUCTO ACABADO
SCRE069,020524,020524,PRODUCTO ACABADO
SCRE047,020524,020524,PRODUCTO ACABADO
SEM113,020524,020524,SEMIELABORADO
SCRE010,020621,020621,PRODUCTO ACABADO
FCAR008,020621,020621,PRODUCTO ACABADO
FCAR007,020621,020621,PRODUCTO ACABADO
FPER050,020621,020621,PRODUCTO ACABADO
SCRE031,020622,020622,PRODUCTO ACABADO
SEM092,020622,020622,SEMIELABORADO
SEM074,020622,020622,SEMIELABORADO
FPOS005,020622,020622,PRODUCTO ACABADO
SCRE047,020622,020622,PRODUCTO ACABADO
SEM085,020622,020622,SEMIELABORADO
SEM089,020622,020622,SEMIELABORADO
SEM087,020622,020622,SEMIELABORADO
SCRE037,020622,020622,PRODUCTO ACABADO
FTAR002,020623,020623,PRODUCTO ACABADO
SCCO007,020623,020623,PRODUCTO ACABADO
SEM118,020623,020623,SEMIELABORADO
SCCO008,020623,020623,PRODUCTO ACABADO
SCRE061,020623,020623,PRODUCTO ACABADO
SEM101,020623,020623,SEMIELABORADO
SEM001,020719,020719,SEMIELABORADO
FCAR008,020719,020719,PRODUCTO ACABADO
SEM044,020719,020719,SEMIELABORADO
FCAR003,020719,020719,PRODUCTO ACABADO
FCAR039,020719,020719,PRODUCTO ACABADO
SEM045,020719,020719,SEMIELABORADO
FCAR008,020720,020720,PRODUCTO ACABADO
FAR006,020720,020720,PRODUCTO ACABADO
FAR003,020720,020720,PRODUCTO ACABADO
FPOS005,020720,020720,PRODUCTO ACABADO
SCRE023,020721,020721,PRODUCTO ACABADO
SEM076,020721,020721,SEMIELABORADO
SCRE031,020721,020721,PRODUCTO ACABADO
FCAR008,020721,020721,PRODUCTO ACABADO
SCRE033,020721,020721,PRODUCTO ACABADO
SCRE032,020721,020721,PRODUCTO ACABADO
SEM075,020721,020721,SEMIELABORADO
SEM077,020721,020721,SEMIELABORADO
SEM074,020721,020721,SEMIELABORADO
FCAR041,020722,020722,PRODUCTO ACABADO
FCAR031,020722,020722,PRODUCTO ACABADO
SEM095,020722,020722,SEMIELABORADO
SEM102,020724,020724,SEMIELABORADO
SEM127,020724,020724,SEMIELABORADO
SEM122,020724,020724,SEMIELABORADO
FCAR002,020724,020724,PRODUCTO ACABADO
FPOS005,020724,020724,PRODUCTO ACABADO
SEM085,020724,020724,SEMIELABORADO
FCAR003,020819,020819,PRODUCTO ACABADO
SCCO002,020819,020819,PRODUCTO ACABADO
FCAR039,020819,020819,PRODUCTO ACABADO
FGRA002,020819,020819,PRODUCTO ACABADO
SCRE010,020821,020821,PRODUCTO ACABADO
FPOS005,020821,020821,PRODUCTO ACABADO
FPOS009,020821,020821,PRODUCTO ACABADO
FTAR002,020821,020821,PRODUCTO ACABADO
FTAR001,020821,020821,PRODUCTO ACABADO
FCAR011,020822,020822,PRODUCTO ACABADO
SEM067,020822,020822,SEMIELABORADO
SCRE049,020823,020823,PRODUCTO ACABADO
FCAR018,020823,020823,PRODUCTO ACABADO
SCRE010,020823,020823,PRODUCTO ACABADO
FCAR017,020823,020823,PRODUCTO ACABADO
SEM083,020823,020823,SEMIELABORADO
FCAR019,020823,020823,PRODUCTO ACABADO
SCRE048,020823,020823,PRODUCTO ACABADO
FPOS010,020823,020823,PRODUCTO ACABADO
SEM104,020823,020823,SEMIELABORADO
SEM005,020823,020823,SEMIELABORADO
SEM127,020824,020824,SEMIELABORADO
SCRE036,020824,020824,PRODUCTO ACABADO
FPOS005,020824,020824,PRODUCTO ACABADO
SEM124,020824,020824,SEMIELABORADO
FCAR031,020824,020824,PRODUCTO ACABADO
FCAR001,020824,020824,PRODUCTO ACABADO
SCRE070,020824,020824,PRODUCTO ACABADO
FMUE002,020824,020824,PRODUCTO ACABADO
FCAR002,020919,020919,PRODUCTO ACABADO
FCAR001,020919,020919,PRODUCTO ACABADO
FCAR000,020919,020919,PRODUCTO ACABADO
FCAR031,020919,020919,PRODUCTO ACABADO
FPES001,020919,020919,PRODUCTO ACABADO
FPOS009,020920,020920,PRODUCTO ACABADO
FCAR016,020921,020921,PRODUCTO ACABADO
FCAR015,020921,020921,PRODUCTO ACABADO
SEM092,020921,020921,SEMIELABORADO
SEM067,020921,020921,SEMIELABORADO
SEM085,020922,020922,SEMIELABORADO
SCRE050,020922,020922,PRODUCTO ACABADO
SCRE051,020922,020922,PRODUCTO ACABADO
SCRE036,020924,020924,PRODUCTO ACABADO
SCRE049,020924,020924,PRODUCTO ACABADO
SEM102,020924,020924,SEMIELABORADO
FCAR002,020924,020924,PRODUCTO ACABADO
FCAR024,020924,020924,PRODUCTO ACABADO
SCRE068,020924,020924,PRODUCTO ACABADO
SCRE048,020924,020924,PRODUCTO ACABADO
FCAR031,020924,020924,PRODUCTO ACABADO
SCRE010,020924,020924,PRODUCTO ACABADO
SEM005,021019,021019,SEMIELABORADO
FCAR015,021019,021019,PRODUCTO ACABADO
FCAR019,021019,021019,PRODUCTO ACABADO
FCAR002,021020,021020,PRODUCTO ACABADO
FCAR031,021020,021020,PRODUCTO ACABADO
FCAR024,021020,021020,PRODUCTO ACABADO
FPOS005,021020,021020,PRODUCTO ACABADO
SEM089,021021,021021,SEMIELABORADO
SEM084,021021,021021,SEMIELABORADO
FCAR024,021023,021023,PRODUCTO ACABADO
SCRE010,021023,021023,PRODUCTO ACABADO
SEM102,021023,021023,SEMIELABORADO
SCRE049,021023,021023,PRODUCTO ACABADO
SEM085,021023,021023,SEMIELABORADO
SCRE048,021023,021023,PRODUCTO ACABADO
SCRE049,021024,021024,PRODUCTO ACABADO
SCRE036,021024,021024,PRODUCTO ACABADO
SCRE048,021024,021024,PRODUCTO ACABADO
SEM127,021024,021024,SEMIELABORADO
FCAR031,021024,021024,PRODUCTO ACABADO
