articulo,lote_proveedor,lote_componente,clave_unica
SEM046,011123,011123,SEM046-011123
SEM005,011123,011123,SEM005-011123
FGRA001,011218,011218,FGRA001-011218
SEM053,011220,011220,SEM053-011220
SCCO002,011220,011220,SCCO002-011220
SEM046,011220,011220,SEM046-011220
SCRE011,011220,011220,SCRE011-011220
SEM020,011220,011220,SEM020-011220
FPOS009,011220,011220,FPOS009-011220
SCRE015,011220,011220,SCRE015-011220
SEM089,011221,011221,SEM089-011221
SEM086,011221,011221,SEM086-011221
SCRE038,011221,011221,SCRE038-011221
SCRE026,011221,011221,SCRE026-011221
SEM075,011221,011221,SEM075-011221
SEM074,011221,011221,SEM074-011221
SEM088,011221,011221,SEM088-011221
SEM087,011221,011221,SEM087-011221
SEM078,011221,011221,SEM078-011221
SCRE010,011221,011221,SCRE010-011221
SCRE037,011221,011221,SCRE037-011221
SCRE041,011221,011221,SCRE041-011221
SCRE035,011221,011221,SCRE035-011221
SCRE033,011221,011221,SCRE033-011221
SCRE034,011221,011221,SCRE034-011221
FCAR015,011221,011221,FCAR015-011221
SCRE031,011221,011221,SCRE031-011221
FCAR016,011221,011221,FCAR016-011221
SCRE042,011222,011222,SCRE042-011222
SCRE038,011222,011222,SCRE038-011222
SCRE047,011222,011222,SCRE047-011222
SEM087,011222,011222,SEM087-011222
SEM086,011222,011222,SEM086-011222
SCCO008,011222,011222,SCCO008-011222
SCRE036,011222,011222,SCRE036-011222
SEM088,011222,011222,SEM088-011222
SCRE052,011222,011222,SCRE052-011222
SCRE046,011222,011222,SCRE046-011222
SCRE063,011223,011223,SCRE063-011223
SCRE059,011223,011223,SCRE059-011223
SCRE061,011223,011223,SCRE061-011223
SEM115,011223,011223,SEM115-011223
SCRE047,011223,011223,SCRE047-011223
SEM118,011223,011223,SEM118-011223
SEM113,011223,011223,SEM113-011223
FCAR001,011223,011223,FCAR001-011223
SCRE062,011223,011223,SCRE062-011223
SEM117,011223,011223,SEM117-011223
SCCO012,011223,011223,SCCO012-011223
SCRE046,011223,011223,SCRE046-011223
SCRE060,011223,011223,SCRE060-011223
SEM116,011223,011223,SEM116-011223
SCRE036,011224,011224,SCRE036-011224
MAT180,0141218,0141218,MAT180-0141218
MAT071,0151218,0151218,MAT071-0151218
MAT331,0173,0173,MAT331-0173
FGRA001,020119,020119,FGRA001-020119
FCAR024,020119,020119,FCAR024-020119
FPOS008,020119,020119,FPOS008-020119
SCRE007,020119,020119,SCRE007-020119
FGRA002,020119,020119,FGRA002-020119
FPES001,020119,020119,FPES001-020119
SEM001,020119,020119,SEM001-020119
FCAR003,020119,020119,FCAR003-020119
SEM020,020119,020119,SEM020-020119
FCAR031,020119,020119,FCAR031-020119
FCAR018,020119,020119,FCAR018-020119
FCAR006,020120,020120,FCAR006-020120
SEM044,020120,020120,SEM044-020120
FPES001,020120,020120,FPES001-020120
FCAR005,020120,020120,FCAR005-020120
MAT035,0201218,0201218,MAT035-0201218
SCRE044,020123,020123,SCRE044-020123
SCRE010,020123,020123,SCRE010-020123
SEM085,020123,020123,SEM085-020123
SCRE049,020123,020123,SCRE049-020123
FCAR008,020123,020123,FCAR008-020123
SEM053,020123,020123,SEM053-020123
FPOS008,020123,020123,FPOS008-020123
SCRE036,020123,020123,SCRE036-020123
SCRE051,020123,020123,SCRE051-020123
SCRE045,020123,020123,SCRE045-020123
FPOS009,020123,020123,FPOS009-020123
