componente,coste_componente_unitario,lote_componente
VAR129,0.5184,2105-021
VAR423,0.2268,2105-022
MAT073,0.86,2105-023
MAT021,1.37,2105-024
MAT303,0.871,2105-025
MAT035,5.25,2105-026
MAT233,3.307,2105-027
MAT038,5.35,2105-028
MAT021,1.37,2105-029
MAT041,1.54,2105-030
MAT039,23.0,2105-031
MAT186,2.9773,2105-032
MAT278,0.69,2105-033
MAT132,8.33,2105-034
MAT060,0.7804,2105-035
MAT303,0.871,2105-036
MAT315,32.795,2105-037
MAT101,0.78,2105-038
MAT300,0.7,2105-039
MAT166,3.68,2105-040
MAT257,3.6,2105-041
MAT305,4.2,2105-042
MAT298,3.7,2105-043
MAT241,0.788,2105-044
MAT287,1.152,2105-045
MAT296,3.85,2105-046
MAT312,1.7517,2105-047
MAT313,57.13,2105-048
MAT314,9.1969,2105-049
MAT279,0.0029,2105-050
MAT266,0.231,2105-051
MAT318,4.828,2105-052
MAT242,1.9416,2105-053
MAT071,6.1,2105-054
MAT040,2.45,2105-055
MAT041,1.54,2105-056
MAT187,3.5,2105-057
MAT244,6.59,2105-058
MAT089,5.751,2105-059
MAT056,0.65,2105-060
MAT316,4.89,2105-061
MAT317,3.8,2105-062
MAT279,0.0031,2105-063
MAT013,2.2,2105-064
MAT178,7.9574,2105-065
MAT132,8.33,2105-066
MAT020,0.5614,2105-067
MAT302,24.0,2105-068
MAT186,2.9773,2105-069
MAT284,14.741,2105-070
MAT045,3.5114,2105-071
MAT186,2.9773,2105-072
MAT039,23.0,2105-073
VAR056,17.5,2105-074
VAR057,5.8,2105-075
VAR113,0.0097,2105-076
MAT229,18.605,2105-077
MAT180,4.636,2105-078
MAT101,0.78,2105-079
MAT316,8.0906,2105-080
MAT147,0.0291,2105-081
MAT311,2.55,2105-082
MAT132,8.33,2105-083
MAT246,3.67,2105-084
MAT307,3.565,2105-085
MAT262,5.859,2105-086
MAT178,7.957,2105-087
MAT310,0.1605,2105-088
MAT309,0.1605,2105-089
MAT308,0.1605,2105-090
MAT311,1.55,2105-091
MAT195,0.0,2105-092
MAT056,0.65,2105-093
MAT242,1.94,2105-095
MAT241,0.788,2105-096
MAT306,11.5,2105-097
MAT295,5.1,2105-098
MAT277,4.3333,2105-099
MAT021,1.37,2105-100
MAT158,3.25,2105-101
MAT035,5.25,2105-102
MAT154,2.43,2105-103
MAT074,5.03,2105-104
MAT286,1.1,2105-105
MAT279,0.0029,2105-106
MAT060,0.7804,2105-107
MAT239,0.7,2105-108
MAT039,23.0,2105-109
MAT113,5.2,2105-110
MAT033,0.65,2105-111
MAT137,4.99,2105-112
MAT316,4.89,2105-113
MAT308,0.1606,2105-114
MAT292,0.0714,2105-115
MAT235,15.2,2105-116
MAT021,1.37,2105-117
VAR441,0.072,2105-118
VAR434,0.072,2105-119
VAR431,0.072,2105-120
VAR425,0.072,2105-121
VAR443,0.072,2105-122
VAR440,0.072,2105-123
MAT037,6.5,2105-124
MAT251,4.0,2105-125
VAR422,0.3186,2106-001
MAT315,32.795,2106-002
MAT313,57.13,2106-003
MAT314,4.2647,2106-004
MAT035,5.9,2106-005
MAT278,0.7,2106-006
MAT269,5.9656,2106-007
MAT056,0.65,2106-008
MAT101,0.78,2106-009
MAT042,3.6,2106-010
MAT039,23.0,2106-011
MAT130,2.5641,2106-012
VAR420,3.05,2106-013
VAR444,0.0027,2106-014
MAT317,3.8,2106-015
MAT316,4.89,2106-016
MAT021,1.37,2106-017
MAT035,5.9,2106-018
MAT089,4.533,2106-019
MAT035,5.25,2106-020
MAT146,0.0874,2106-021
MAT196,0.096,2106-022
MAT137,4.9,2106-023
MAT246,4.022,2106-024
MAT035,5.95,2106-025
MAT101,0.78,2106-026
MAT319,26.0,2106-027
MAT166,3.68,2106-028
MAT018,7.003,2106-029
MAT262,5.859,2106-030
MAT271,5.122,2106-031
MAT270,4.77,2106-032
MAT073,0.86,2106-033
MAT033,0.65,2106-034
MAT309,0.1605,2106-035
MAT308,0.16,2106-036
MAT310,0.1605,2106-037
MAT039,16.0,2106-038
MAT071,6.1,2106-039
MAT228,3.1,2106-040
VAR119,0.0919,2106-041
VAR123,5.111,2106-042
VAR122,5.03,2106-043
MAT045,3.9659,2106-044
MAT186,3.5568,2106-045
MAT300,0.7,2106-046
MAT021,1.37,2106-047
MAT290,4.2,2106-048
MAT197,8.0,2106-049
MAT038,5.3,2106-050
MAT048,4.9,2106-051
MAT178,7.9,2106-052
MAT041,1.54,2106-053
MAT056,0.65,2106-054
MAT295,5.1,2106-055
MAT154,2.43,2106-056
MAT228,3.1,2106-057
MAT060,0.7804,2106-058
MAT132,8.33,2106-059
VAR118,0.2646,2106-060
MAT026,0.5549,2106-061
VAR420,3.05,2106-062
MAT230,15.2,2106-063
MAT021,1.37,2106-064
MAT326,3.0,2106-065
MAT067,11.9,2106-066
MAT244,6.7,2106-067
MAT268,5.45,2106-068
MAT035,5.95,2106-069
MAT166,3.68,2106-070
MAT013,2.2,2106-071
MAT137,4.9,2106-072
MAT039,23.0,2106-073
MAT113,3.4,2106-074
MAT033,0.65,2106-075
MAT073,0.86,2106-076
MAT294,0.152,2106-077
MAUX001,0.231,2106-078
MAUX002,0.385,2106-079
MAT296,3.85,2106-080
MAT241,0.792,2106-081
MAT287,1.15,2106-082
MAT306,11.5,2106-083
MAT295,5.1,2106-084
MAT297,4.95,2106-085
MAT073,0.86,2106-086
MAT021,1.37,2106-087
MAT041,1.54,2106-088
MAT035,5.8,2106-089
MAT183,0.0205,2106-090
VAR113,0.0086,2106-091
MAT239,0.7,2106-092
MAT302,21.0,2106-093
MAT056,0.65,2106-094
MAT035,5.9,2106-095
MAT005,0.1657,2106-096
MAT137,4.9,2106-097
MAT302,21.0,2106-098
MAT154,2.43,2106-099
MAT262,5.859,2106-100
MAT271,5.122,2106-101
MAT222,4.77,2106-102
MAT178,7.9,2106-103
MAT041,1.54,2106-104
MAT139,12.4,2106-105
MAT261,16.0,2106-106
MAT235,12.95,2107-001
VAR440,0.066,2107-002
VAR443,0.066,2107-003
VAR441,0.066,2107-004
VAR434,0.066,2107-005
VAR431,0.066,2107-006
MAT257,3.6,2107-007
MAT292,0.0714,2107-008
MAT039,16.0,2107-009
MAT233,3.307,2107-010
VAR420,3.05,2107-011
MAT101,0.78,2107-012
MAT322,12.871,2107-013
MAT320,4.636,2107-014
MAT038,5.3,2107-015
MAT071,6.1,2107-016
MAT185,4.8,2107-017
MAT326,3.0,2107-018
MAT021,1.37,2107-019
MAT139,10.858,2107-020
MAT265,3.0,2107-021
VAR423,0.2268,2107-022
VAR422,0.3186,2107-023
MAT027,0.8,2107-024
MAT244,6.59,2107-025
MAT137,4.9,2107-026
MAT329,1.85,2107-027
MAT325,3.28,2107-028
MAT337,3.6364,2107-029
MAT158,3.02,2107-030
MAT056,0.65,2107-031
MAT154,2.43,2107-032
MAT132,8.33,2107-033
MAT174,2.0,2107-034
MAT316,4.89,2107-035
MAT317,3.8,2107-036
MAT073,0.86,2107-037
MAT302,21.0,2107-038
MAT229,18.605,2107-039
MAT048,4.9,2107-040
MAT183,0.0205,2107-041
MAT035,5.8,2107-042
MAT132,8.33,2107-043
MAT060,0.6622,2107-044
MAT321,0.0,2107-045
MAT104,0.0361,2107-046
MAT268,5.45,2107-047
MAT039,16.0,2107-048
MAT035,5.95,2107-049
MAT042,3.6,2107-050
MAT021,1.37,2107-051
VAR422,0.3186,2107-052
MAT147,0.0304,2107-053
MAT161,3.33,2107-054
MAT292,0.0714,2107-055
MAT286,1.1,2107-056
MAT038,5.3,2107-057
MAT304,4.43,2107-058
MAT132,8.98,2107-059
MAT337,3.6327,2107-060
MAT278,0.7,2107-061
MAT242,1.94,2107-062
MAT241,0.792,2107-063
MAT298,3.7,2107-064
MAT305,4.2,2107-065
MAT296,3.85,2107-066
VAR121,1.39,2107-067
MAT021,1.37,2107-068
MAT239,0.7,2107-069
MAT154,2.43,2107-070
MAT074,5.03,2107-071
MAT277,3.6833,2107-072
MAT035,6.5,2107-073
MAT035,5.5,2107-074
MAT073,0.86,2107-075
MAT033,0.65,2107-076
MAT269,5.9656,2107-077
MAT137,4.9,2107-079
MAT071,6.1,2107-080
MAT161,3.33,2107-081
MAT101,0.78,2107-082
MAT132,8.33,2107-083
MAT287,1.152,2107-084
VAR119,0.0919,2107-085
MAT035,6.6,2107-086
MAT035,5.9,2107-087
MAT158,2.85,2107-088
MAT326,3.0,2107-089
MAT310,0.1605,2107-090
MAT309,0.1605,2107-091
MAT308,0.1605,2107-092
MAT039,16.0,2107-093
MAT113,3.5,2107-094
MAT292,0.0714,2107-095
MAT306,11.5,2107-096
MAT337,3.6328,2107-097
MAT060,0.7804,2107-098
MAT042,3.8,2107-099
MAT048,5.15,2107-100
MAT132,8.33,2107-101
MAT239,0.7,2107-102
MAT178,7.9,2107-103
MAT287,1.15,2107-104
MAT242,1.94,2107-105
MAT296,3.85,2107-106
MAT241,0.792,2107-107
MAT113,3.4,2107-108
MAT035,6.3,2107-109
MAT113,3.5,2107-110
MAT228,3.1,2107-111
MAT038,5.35,2107-112
VAR425,0.063,2107-113
VAR440,0.063,2107-114
VAR443,0.063,2107-115
MAUX012,0.063,2107-116
MAUX008,0.063,2107-117
MAUX009,0.063,2107-118
MAUX010,0.063,2107-119
MAUX013,0.063,2107-120
MAUX011,0.063,2107-121
MAUX003,0.1652,2108-001
MAUX004,0.1652,2108-002
MAT319,26.0,2108-003
MAT129,3.6667,2108-004
MAT130,2.5641,2108-005
MAT290,4.2,2108-006
MAT304,4.43,2108-007
VAR423,0.2268,2108-008
MAT158,2.2,2108-009
MAT040,2.45,2108-010
MAT339,1.95,2108-011
MAT057,1.207,2108-012
MAT013,2.1561,2108-013
MAT323,9.4075,2108-014
MAT101,0.78,2108-015
MAT340,19.9,2108-016
MAT089,4.696,2108-017
MAT033,0.65,2108-018
MAT073,0.86,2108-019
MAT132,8.33,2108-020
MAT060,0.7804,2108-021
MAT039,23.0,2108-022
MAT056,0.65,2108-023
MAT187,3.45,2108-024
VAR408,8.5,2108-025
VAR420,3.05,2108-026
MAT021,1.37,2108-027
MAT035,6.9,2108-028
MAT048,5.15,2108-029
MAUX014,0.23,2108-030
MAUX015,0.11,2108-031
MAT170,0.295,2108-032
MAT166,3.68,2108-033
MAT324,0.6,2108-034
MAT297,4.95,2108-035
MAT039,17.0,2108-036
MAT113,3.5,2108-037
MAUX002,0.385,2108-038
MAUX001,0.231,2108-039
MAT337,3.625,2108-040
MAT325,3.28,2108-041
MAT101,0.78,2108-042
MAT039,17.0,2108-043
MAT038,5.3,2108-044
MAT183,0.0205,2108-045
MAUX016,0.0012,2108-046
MAT178,7.957,2108-047
MAT305,4.2,2108-048
MAT071,6.1,2108-049
MAT073,0.86,2108-050
MAT004,0.0966,2108-051
VAR444,0.0027,2108-052
MAT321,8.0,2108-053
MAT303,0.871,2108-054
MAT048,5.15,2108-055
MAT262,5.859,2108-056
MAT271,5.122,2108-057
MAT222,4.77,2108-058
MAT270,4.77,2108-059
VAR119,0.0965,2108-061
MAT292,0.0714,2108-062
MAT269,5.9656,2108-063
MAT060,0.7804,2108-064
MAT235,11.85,2108-065
MAT342,11.6,2108-066
VAR123,5.11,2108-067
VAR122,5.711,2108-068
MAT035,6.9,2108-069
MAT035,5.0,2108-070
MAT158,2.2,2108-071
MAT113,3.5,2108-072
MAT104,0.0361,2108-073
MAT154,2.43,2108-074
MAT318,4.828,2108-075
MAT039,23.0,2108-076
MAT313,0.0,2108-078
MAT196,0.096,2108-080
MAT137,4.9,2108-081
MAT229,18.605,2108-083
MAT056,0.65,2108-084
MAT021,1.37,2108-085
MAT013,2.2,2108-086
MAT258,5.3958,2108-087
MAT333,2.3,2108-088
MAT178,7.9,2108-089
MAT067,12.15,2108-090
MAT132,8.33,2108-093
MAT307,3.565,2108-094
MAT332,4.567,2108-095
MAT328,4.929,2108-096
MAT313,75.912,2108-098
MAT334,0.78,2108-099
MAT056,0.65,2108-100
MAT101,0.78,2108-101
MAT021,1.37,2108-102
MAT302,19.0,2109-001
MAT035,6.3,2109-002
MAT306,11.5,2109-003
MAT242,1.94,2109-005
MAT241,0.792,2109-006
MAT287,1.15,2109-007
MAT257,3.6,2109-008
MAT295,5.1,2109-009
MAT298,3.7,2109-010
MAT239,0.7,2109-012
MAT269,5.9656,2109-013
MAT039,17.07,2109-014
MAT113,3.5,2109-015
MAT048,5.35,2109-016
VAR121,1.39,2109-017
MAT132,8.55,2109-018
MAT339,1.95,2109-019
MAT262,5.859,2109-020
MAT234,7.1,2109-023
MAT230,15.2,2109-024
MAT340,19.9,2109-025
MAT033,0.675,2109-026
VAR443,0.079,2109-028
VAR442,0.079,2109-029
VAR434,0.079,2109-030
MAT337,3.625,2109-031
MAT026,0.5549,2109-032
MAT021,1.37,2109-033
MAT343,1.0542,2109-035
MAT334,0.78,2109-037
MAT056,0.65,2109-038
MAT027,0.8,2109-039
MAT037,2.7,2109-040
MAT038,5.35,2109-041
MAT345,2.95,2109-042
MAT154,2.43,2109-043
MAT320,4.636,2109-045
MAT113,3.5,2109-046
MAT243,1.8,2109-047
MAT132,8.55,2109-048
MAT035,6.5,2109-049
MAT290,5.7,2109-050
MAT330,0.3926,2109-051
MAT315,32.795,2109-052
MAT344,0.99,2109-053
MAT278,0.7,2109-054
MAT327,1.148,2109-056
MAT333,2.3,2109-057
MAT257,3.6,2109-058
MAT305,4.2,2109-059
MAT321,0.0,2109-060
MAT300,0.7,2109-061
MAT325,3.28,2109-062
MAT050,2.37,2109-063
MAT248,3.7,2109-064
MAT299,4.3,2109-065
MAT187,3.45,2109-066
MAT265,3.0,2109-067
MAT251,4.0,2109-068
MAT285,2.93,2109-069
VAR056,17.5,2109-070
MAT183,0.0205,2109-071
MAT039,23.0,2109-072
MAT257,3.6,2109-075
MAT306,11.5,2109-076
MAT295,5.1,2109-077
MAT297,4.95,2109-078
MAT298,3.7,2109-079
MAT247,1.7,2109-080
MAT261,16.0,2109-081
VAR417,0.0157,2109-082
MAT290,5.7,2109-083
MAT290,6.5,2109-084
MAT071,6.1,2109-085
MAT268,5.45,2109-086
MAT328,4.929,2109-088
MAT332,4.567,2109-089
MAT040,2.45,2109-090
MAT041,1.54,2109-091
MAT337,3.625,2109-092
MAT021,1.37,2109-093
MAT158,2.2,2109-094
MAT229,18.605,2109-095
MAT319,26.0,2109-096
VAR423,0.2,2109-097
MAT231,0.275,2109-098
MAT060,0.7804,2109-099
MAUX017,0.066,2109-100
MAT292,0.0714,2109-101
MAT293,0.1029,2109-102
MAT154,2.43,2109-103
MAT042,3.95,2109-104
MAT038,5.35,2109-105
MAT300,0.7,2109-106
MAT056,0.65,2109-107
MAT071,6.1,2109-108
MAT048,5.3,2109-109
MAT343,1.0542,2109-110
MAT303,0.871,2109-111
MAT284,14.741,2109-112
MAT282,0.8,2109-113
MAT113,3.0,2109-114
MAT336,3.625,2109-115
MAT325,3.28,2109-116
MAT299,4.3,2109-117
MAT033,0.725,2109-118
MAT296,3.85,2109-119
MAT242,1.94,2109-120
MAT241,0.792,2109-121
MAT287,1.15,2109-122
MAT257,3.618,2109-123
MAT300,0.7,2109-125
MAT343,1.0542,2109-126
MAT315,32.795,2109-127
MAT290,6.2,2109-128
MAT290,6.5,2109-129
MAT178,7.957,2109-130
MAT113,3.5,2109-131
MAT033,0.725,2109-132
MAT073,1.5875,2109-133
MAT101,0.78,2109-134
MAT101,0.78,2109-135
MAT334,0.78,2109-136
MAT243,1.8,2109-137
MAT239,0.7,2109-138
MAT137,4.9,2109-139
MAUX008,0.066,2109-140
MAUX012,0.066,2109-141
MAUX010,0.066,2109-142
MAUX009,0.066,2109-143
MAT251,3.5,2109-144
VAR056,10.14,2109-145
MAUX019,0.031,2109-146
VAR119,0.0965,2109-147
MAT277,3.6833,2109-148
MAT340,19.9,2109-149
MAT286,1.1,2109-150
MAT060,0.7804,2109-151
MAT278,0.7,2109-152
MAT039,17.07,2109-153
MAT035,6.5,2109-154
MAT290,6.0,2109-155
MAT234,6.8,2109-156
MAT290,5.7,2109-157
MAT265,3.0,2109-158
MAT339,1.95,2109-159
MAT239,0.7,2109-160
VAR142,0.3402,2109-161
MAT300,0.7,2109-162
MAT113,3.0,2109-163
MAT299,4.3,2109-164
MAT248,3.7,2109-165
VAR434,0.072,2109-166
VAR431,0.072,2109-167
VAR441,0.072,2109-168
VAR440,0.072,2109-169
MAT290,6.5,2109-170
MAT292,0.0714,2109-171
MAT039,23.0,2109-172
MAT285,2.93,2109-173
MAUX021,1.4681,2109-174
MAUX020,0.2328,2109-175
MAT262,5.859,2109-176
MAT018,7.003,2109-177
MAT290,6.2,2109-178
MAT035,6.5,2109-179
MAT038,5.35,2109-180
MAT296,3.85,2109-181
MAT287,1.15,2109-182
MAT241,0.792,2109-183
MAT257,3.6,2109-184
MAT295,5.1,2109-185
MAT297,4.95,2109-186
MAUX021,1.4681,2110-001
MAUX020,0.2328,2110-002
MAT048,5.3,2110-003
MAT113,3.65,2110-005
MAT286,1.1,2110-006
MAT228,3.1,2110-007
MAT060,0.7804,2110-008
MAT243,1.8,2110-009
MAT089,4.696,2110-010
MAT284,14.741,2110-011
MAT278,0.7,2110-012
MAT056,0.65,2110-013
MAT319,26.0,2110-014
MAT246,3.67,2110-015
MAT292,0.0714,2110-016
VAR420,3.1415,2110-017
MAT304,4.43,2110-018
MAT299,4.3,2110-019
MAT248,3.7,2110-020
VAR444,0.0037,2110-021
MAT300,0.7,2110-022
MAT101,0.78,2110-023
MAT334,0.78,2110-024
MAT042,4.15,2110-025
VAR400,173.12,2110-026
MAT316,4.89,2110-027
MAT327,1.148,2110-028
MAT306,11.5,2110-030
MAT298,3.7,2110-031
MAT329,1.95,2110-032
MAT060,0.7804,2110-033
MAT178,7.957,2110-034
MAT343,1.0542,2110-035
MAT314,11.0991,2110-036
MAT343,1.0542,2110-037
MAT340,19.9,2110-038
VAR118,0.2805,2110-039
VAR422,0.325,2110-040
MAT317,3.8,2110-041
MAT233,4.057,2110-042
MAT039,23.0,2110-043
MAT039,17.07,2110-044
MAT234,6.8,2110-045
MAT290,5.7,2110-046
MAT035,6.5,2110-047
MAT113,3.65,2110-048
MAT113,3.0,2110-049
MAT021,1.37,2110-050
MAT325,3.28,2110-051
MAT296,4.274,2110-052
MAT339,1.95,2110-053
MAT320,4.636,2110-054
MAT344,0.97,2110-055
MAT278,0.7,2110-056
MAUX002,0.385,2110-057
MAT292,0.0714,2110-058
MAT257,3.6,2110-059
MAT296,3.85,2110-060
MAT305,4.2,2110-061
MAUX021,1.4681,2110-062
MAUX020,0.2328,2110-063
VAR420,3.1415,2110-064
MAT290,6.5,2110-065
MAT234,7.1,2110-066
MAT304,4.43,2110-067
MAT307,3.565,2110-068
MAT339,1.95,2110-069
MAT292,0.0714,2110-070
MAT324,0.6,2110-071
MAUX021,1.4681,2110-072
VAR444,0.0037,2110-074
MAT325,3.28,2110-075
MAT113,3.65,2110-076
MAT300,0.7,2110-077
VAR398,0.0438,2110-078
MAT314,12.75,2110-079
MAT166,3.68,2110-080
MAT262,5.859,2110-081
MAT271,5.122,2110-082
MAT270,4.77,2110-083
MAT345,2.95,2110-084
MAT132,8.55,2110-085
MAT296,4.274,2110-086
MAT039,23.0,2110-087
MAT344,0.99,2110-088
MAT038,5.35,2110-089
MAT228,3.1,2110-090
MAT183,0.0205,2110-091
MAT176,6.832,2110-092
MAT334,0.78,2110-093
MAT056,0.65,2110-094
MAT042,4.15,2110-095
MAT327,1.148,2110-096
MAT316,4.89,2110-097
MAT296,3.85,2110-098
MAT333,2.3,2110-099
MAUX017,0.06,2110-100
MAT286,1.1,2110-101
MAT290,5.7,2110-102
MAUX017,0.06,2110-103
MAT161,3.15,2110-104
MAT021,1.37,2110-105
MAT154,2.43,2110-106
VAR424,0.1528,2110-107
MAT339,1.95,2110-108
MAT234,6.8,2110-109
MAT234,7.1,2110-110
MAT311,1.55,2110-111
MAT101,0.78,2110-112
MAT174,2.0,2110-113
MAT312,3.9961,2110-114
MAT132,8.55,2110-115
MAT325,3.28,2110-116
MAT337,3.625,2110-117
MAT265,3.0,2110-118
VAR444,0.0037,2110-119
VAR420,3.1415,2110-120
MAT033,0.725,2110-121
MAT104,0.0361,2110-122
MAT332,4.567,2110-123
MAT302,19.0,2110-124
MAT233,4.057,2110-125
MAT041,1.54,2110-126
MAT113,3.8,2110-127
MAT035,6.5,2110-128
MAT261,17.204,2110-129
MAT101,0.78,2110-130
MAT241,0.792,2110-131
MAT242,1.94,2110-132
MAT287,1.15,2110-133
MAT257,3.6,2110-134
MAT297,4.95,2110-135
MAT316,4.89,2110-136
MAT292,0.0714,2110-137
MAT239,0.7,2110-138
MAT243,1.8,2110-139
MAT132,8.55,2110-140
MAT027,0.8,2110-141
MAT326,3.8,2110-142
MAT038,5.35,2110-143
MAT048,5.85,2110-144
MAT113,3.2612,2110-145
VAR424,0.1528,2110-146
MAT309,0.1847,2110-147
MAT310,0.1847,2110-148
MAT308,0.1847,2110-149
MAUX003,0.169,2110-150
MAUX004,0.169,2110-151
MAT296,3.85,2110-152
MAT294,0.152,2110-153
MAT040,2.45,2111-001
MAT178,7.957,2111-002
MAT129,3.6667,2111-003
MAT130,2.5641,2111-004
MAUX018,0.285,2111-005
MAT300,0.7,2111-006
MAUX020,0.2328,2111-007
MAT321,0.0,2111-009
MAT039,23.0,2111-010
MAT158,2.2,2111-011
MAT048,5.25,2111-012
MAT187,3.45,2111-013
MAT228,3.1,2111-014
MAT345,2.95,2111-015
VAR443,0.06,2111-016
VAR441,0.06,2111-017
VAR434,0.06,2111-018
VAR431,0.06,2111-019
MAUX010,0.06,2111-020
MAUX012,0.06,2111-021
VAR076,0.272,2111-022
MAT278,0.7,2111-023
MAT344,0.99,2111-024
MAT331,0.265,2111-025
MAT292,0.0714,2111-026
MAT296,3.85,2111-027
MAT333,2.3,2111-028
MAT257,3.6,2111-029
MAT295,5.7,2111-030
MAT297,4.95,2111-031
MAT298,4.23,2111-032
VAR113,0.0097,2111-033
MAUX016,0.0012,2111-034
MAT113,3.4,2111-035
MAT262,5.859,2111-036
MAT347,4.583,2111-037
MAT290,5.7,2111-038
MAT310,0.1847,2111-039
MAT324,0.6,2111-040
MAT346,0.626,2111-041
MAT330,0.3926,2111-042
MAT315,32.795,2111-043
VAR119,0.0965,2111-044
MAT340,19.9,2111-045
VAR444,0.0037,2111-046
MAT132,8.55,2111-047
VAR420,3.1415,2111-048
MAT021,1.37,2111-049
MAT048,5.25,2111-050
VAR310,8.36,2111-051
MAT021,1.37,2111-052
MAT056,0.65,2111-053
MAT334,0.78,2111-054
MAT101,0.78,2111-055
MAT178,7.957,2111-056
MAT039,23.0,2111-057
MAT269,5.9656,2111-058
MAT292,0.0714,2111-059
MAT035,6.5,2111-060
MAT234,6.8,2111-061
MAT320,4.636,2111-062
MAT322,12.871,2111-063
MAUX017,0.0538,2111-064
MAT161,3.17,2111-065
MAT174,2.0,2111-066
MAT038,5.35,2111-067
MAT248,3.7,2111-068
MAT299,4.3,2111-069
MAT313,75.912,2111-070
MAT323,9.4075,2111-071
MAT343,1.0542,2111-072
MAT303,1.0542,2111-073
MAT073,1.5785,2111-074
MAT334,0.78,2111-075
MAT290,6.2,2111-076
MAT234,7.1,2111-077
MAT296,3.85,2111-078
MAT284,14.741,2111-079
MAT306,11.5,2111-080
MAT297,5.9,2111-081
MAT242,1.94,2111-082
MAT316,4.8,2111-083
MAT241,0.792,2111-084
MAT317,5.4,2111-085
MAT257,3.6,2111-086
MAT295,5.9,2111-087
MAT298,4.3,2111-088
MAT286,1.1,2111-089
MAT174,2.0,2111-090
MAT013,2.244,2111-091
VAR408,10.5,2111-092
MAUX023,0.0012,2111-093
MAT257,3.6,2111-094
MAT026,0.5549,2111-095
MAT113,3.8,2111-096
MAT154,2.43,2111-097
MAT292,0.0714,2111-098
MAT132,8.908,2111-099
MAT243,1.913,2111-100
MAT021,1.37,2111-101
MAT101,0.78,2111-102
VAR440,0.054,2111-103
VAR434,0.054,2111-104
MAUX010,0.054,2111-105
MAUX012,0.054,2111-106
MAUX009,0.054,2111-107
MAUX008,0.054,2111-108
MAT324,0.6,2111-109
MAT325,3.28,2111-110
MAT039,23.0,2111-111
MAT073,1.5785,2111-112
MAT033,0.8055,2111-113
MAT290,5.7,2111-114
MAT035,6.5,2111-115
MAT234,7.2,2111-116
VAR056,18.38,2111-117
VAR420,3.1415,2111-118
MAUX020,0.2328,2111-119
MAUX021,1.4681,2111-120
MAT040,2.45,2111-121
MAT017,0.2244,2111-122
MAT257,3.6,2111-123
MAT312,4.176,2111-124
MAUX001,0.231,2111-125
MAT038,5.35,2111-126
MAT071,6.1,2111-127
VAR444,0.0037,2111-128
MAT234,6.9,2111-129
MAT137,4.9,2111-130
MAT290,6.2,2111-131
VAR315,1.9472,2111-132
MAT292,0.0714,2111-133
MAT160,20.5,2111-134
MAT160,20.5,2111-135
MAT037,2.5,2111-136
MAT281,3.5,2111-137
MAT290,5.0,2111-138
MAT039,23.0,2111-139
MAT197,6.5,2111-140
MAT048,5.6,2111-141
MAT339,1.95,2111-142
MAT300,0.7,2111-143
MAT166,3.68,2111-144
MAT262,6.959,2111-145
MAT018,7.003,2111-146
MAT271,5.32,2111-147
MAT055,10.149,2111-148
MAT039,17.07,2111-149
MAT296,3.85,2111-150
MAT242,1.94,2111-151
MAT327,1.148,2111-152
MAT241,0.792,2111-153
MAT298,4.3,2111-154
MAT021,1.37,2111-155
MAT233,4.207,2111-156
MAT178,7.957,2111-157
MAT017,0.2244,2111-158
MAT028,5.8533,2111-159
MAT326,3.8,2111-160
MAT302,19.0,2111-161
MAT056,0.65,2111-162
MAT056,0.65,2111-163
MAT334,0.78,2111-164
MAT228,3.3,2111-165
MAT073,1.1808,2111-166
MAT315,32.795,2111-167
MAT054,3.64,2111-168
MAT329,1.95,2111-169
MAT337,3.7814,2111-170
MAT325,3.28,2111-171
MAT154,2.43,2111-172
MAT013,2.244,2111-173
MAT136,10.0,2111-174
MAT234,7.1,2111-175
MAT183,0.0205,2111-176
MAT042,4.65,2111-177
MAT113,3.55,2111-178
MAT038,5.35,2111-179
MAT292,0.0714,2111-180
MAT278,0.7,2111-181
MAT344,0.99,2111-182
MAT071,6.1,2111-183
MAT345,2.95,2111-184
MAT290,6.2,2111-185
VAR444,0.0037,2111-186
MAT268,5.45,2111-187
MAT268,5.45,2111-188
MAT321,0.0,2111-189
MAT318,5.1088,2111-190
VAR420,3.1415,2111-191
MAT294,0.152,2111-192
MAT033,0.8055,2112-001
MAT316,4.89,2112-002
MAT296,3.85,2112-003
MAT242,1.94,2112-004
MAT287,1.15,2112-005
MAT333,2.3,2112-006
MAT241,0.792,2112-007
VAR312,1.05,2112-008
VAR128,1.05,2112-009
MAT343,1.2992,2112-010
MAUX020,0.2328,2112-011
MAUX021,1.4681,2112-012
VAR417,0.0157,2112-013
MAT101,0.78,2112-014
MAT334,0.78,2112-015
MAT039,23.0,2112-016
MAT048,6.3,2112-017
MAT178,7.957,2112-018
MAT229,18.605,2112-019
MAT320,4.636,2112-020
MAT319,26.0,2112-021
MAT297,5.9,2112-022
MAT021,1.37,2112-023
MAT330,0.3926,2112-024
MAT315,32.795,2112-025
MAT346,0.626,2112-026
MAT343,1.2992,2112-027
MAT262,6.959,2112-028
MAT347,4.913,2112-029
MAT339,1.95,2112-030
MAT290,5.7,2112-031
MAT234,7.2,2112-032
MAT040,2.45,2112-033
MAT239,0.763,2112-034
MAUX002,0.385,2112-035
MAUX001,0.231,2112-036
MAT113,3.8,2112-037
MAT235,14.25,2112-038
MAT346,0.626,2112-039
MAT312,2.03,2112-040
MAT039,23.0,2112-041
MAT137,4.9,2112-042
MAT132,8.908,2112-043
