Cód. artículo;Artículo;Tipo unidad (Obsoleto);Precio estándar;Precio compra;Ultimo precio compra;Familia;Línea;Tipo;Obsoleto;Peso;Peso neto artículo;
FCAR020;PINTADA RELLENA DE SETAS Y FOIE (CAJA 16 uds);Uds;36,7081;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;3,75;;
FCAR021;PICANTON RELLENO DE JAMON IBERICO Y TRUFA NEGRA;Uds;85,1329;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;3,75;;
FCAR022;ROTI DE CIERVO;Uds;0,0000;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;0;;
FCAR023;SALSA  DE CIERVO;Uds;0,0000;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;0;;
FCAR024;COCHINILLO DESHUESADO PLANCHA (CAJA 3X 2,15 kg);Uds;105,2308;0,0000;0;CARNES;FOODVAC;CONGELAD;No;6,7919;2,15;
FCAR025;SALSA DE VACUNO CON MIEL;Uds;0,0000;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;0;;
FCAR026;CONEJO RELLENO DE VERDURAS (CAJA 16 uds);Uds;32,1838;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;3,75;;
FCAR028;PRESA DE CERDO DUROC (PIEZA 600/700 g);Uds;0,0000;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;4,3;;
FCAR029;CODILLO DE CERDO DESHUESADO (CAJA 16 uds);Uds;43,9660;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,052;0,17;
FCAR030;CODILLO DE CERDO DESHUESADO (3 X 2,5 KG);Uds;100,3877;0,0000;0;CARNES;FOODVAC;CONGELAD;No;7,8419;2,5;
FCAR031;PULLED PORK (Caja 8 uds X 500 g);Uds;34,2929;0,0000;0;CARNES;FOODVAC;CONGELAD;No;4,34;0,5;
FCAR032;PULLED BEEF (Caja 8 uds X 500 g);Uds;0,0000;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;4;;
FCAR033;SALSA DE CORDERO;Cajas;0,0000;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;4;;
FCAR034;CARRILLERA DE CERDO MOLDEADA RACION (16ud);Cajas;0,0000;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;4;;
FCAR035;SALSA DE CERDO;Cajas;0,0000;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;3,5;;
FCAR036;MUSLO POLLO RELLENO (CEBOLLA CARAM. Y PASAS)(16ud);Cajas;23,2500;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;3,75;;
FCAR037;PULLED CHICKEN (Caja 8 uds X 500 g);Uds;33,0523;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;4;;
FCAR038;COCHINILLO CON HUESO (CAJA 14 uds);Uds;24,2502;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;3;;
FCAR039;TERRINA DE OREJA DE CERDO (CAJA 16 uds);Uds;32,4196;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,052;0,17;
FCAR040;STICKS DE CORDERO (8 x500 gr);Uds;38,8700;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;4;;
FCAR041;DELANTERO DE VACUNO (CAJA 16 UDS);Uds;48,6628;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;4;;
FCAR042;CAJA 4 CUARTOS CORDERO LECHAL COCIN. A BAJA TEMPERATURA;Uds;39,4052;0,0000;0;CARNES;FOODVAC;CONGELAD;No;0;;
FCAR043;CAJA 2 COCHINILLOS COCINADOS A BAJA TEMPERATURA;Uds;111,0950;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;11,6;;
FCAR044;PICANTON CONFITADO (CAJA 12 UDS);Uds;30,9435;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;3,9;;
FCAR045;PANCETA CONFITADA (CAJA 16 uds x 250 gr);Uds;0,0000;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;4,2;;
FCAR046;CARRILLERA DE CERDO AL OPORTO (CAJA 12 uds x 220 gr);Uds;27,4920;0,0000;0;CARNES;FOODVAC;CONGELAD;No;2,9828;0,22;
