Fecha Recepción;Nº Orden;Producto;Descripción Producto;Lote Producto;Unidades Fabricadas;Componente;Descripción Componente;Lote Componente;Línea;Familia;Consumo Teórico;Total Teórico;Consumo Unitario;Consumo Total;Coste Unitario;Coste Total
05/01/2024;FV-8756;SCRE048;RABO DE VACUNO CON SETAS (1  x 350 gr);030124;648,00;MAUX026;ESTUCHE RABO DE VACUNO;12302678;COMPONENTE;MATERIAL AUXILIAR;0,41;267,23;0,40;262,00;0,21;55,07
05/01/2024;FV-8772;SCRE048;RABO DE VACUNO CON SETAS (1  x 350 gr);080124;504,00;VAR423;CAJA BLANCA (6 UDS ESTUCHES);1002014708;COMPONENTE;MATERIAL AUXILIAR;0,17;85,73;0,17;84,00;0,26;21,91
05/01/2024;FV-8775;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);080124;432,00;MAUX016;ETIQUETA IMPRESA 1426 FECHA DE CADUCIDAD;S2G2616BI;COMPONENTE;MATERIAL AUXILIAR;1,02;440,70;1,00;433,00;0,00;0,52
05/01/2024;FV-8774;SEM047;SC SEMIELABORADO DE SECRETO IBERICO CON PX;030124;2.078,00;MAUX001;FILM TAPA 100 MC (500 M X BOBINA ANCHO 418) ULMA;ALB-2232021;COMPONENTE;MATERIAL AUXILIAR;0,09;178,04;0,07;146,71;0,23;33,74
05/01/2024;FV-8769;SEM100;SEMIELABORADO SALSA CARRILLERA AL OPORTO;040124;123,30;MAUX002;FILM BASE 200 MC (350 M X BOBINA ANCHO 423) ULMA;ALB-2232021;COMPONENTE;MATERIAL AUXILIAR;0,09;10,57;0,07;8,71;0,45;3,92
05/01/2024;FV-8756;SCRE048;RABO DE VACUNO CON SETAS (1  x 350 gr);030124;648,00;MAUX016;ETIQUETA IMPRESA 1426 FECHA DE CADUCIDAD;S2G2616BI;COMPONENTE;MATERIAL AUXILIAR;1,02;661,12;1,01;654,00;0,00;0,78
05/01/2024;FV-8765;SEM095;SEMIELABORADO RABO ESTOFADO CON SETAS;020124;2.003,00;MAT339;MIX DE SETAS CULTIVADAS;29/09/23;COMPONENTE;MATERIA PRIMA;0,03;66,44;0,03;60,09;1,97;118,20
05/01/2024;FV-8767;SEM082;SEMIELABORADO DE ARROZ DE VERDURAS SIN BOLETUS TROZO (BOLSA);030124;169,00;MAT242;GARROFON CONGELADO;3270;COMPONENTE;MATERIA PRIMA;1,00;168,99;0,29;48,18;1,99;95,77
05/01/2024;FV-8774;SEM047;SC SEMIELABORADO DE SECRETO IBERICO CON PX;030124;2.078,00;SEM084;SEMIELABORADO DE PX;021223;SC;SEMIELABORADOS;0,00;0,41;0,00;8,66;3,41;29,50
05/01/2024;FV-8767;SEM082;SEMIELABORADO DE ARROZ DE VERDURAS SIN BOLETUS TROZO (BOLSA);030124;169,00;MAT355;MIX DE SETAS CULTIVADAS Y AJO TIERNO;020823;COMPONENTE;MATERIA PRIMA;0,66;111,52;0,67;113,54;2,30;261,14
05/01/2024;FV-8765;SEM095;SEMIELABORADO RABO ESTOFADO CON SETAS;020124;2.003,00;MAT333;ZANAHORIA BASTONES;2180/3208;COMPONENTE;MATERIA PRIMA;0,03;61,47;0,03;55,59;1,49;82,83
05/01/2024;FV-8765;SEM095;SEMIELABORADO RABO ESTOFADO CON SETAS;020124;2.003,00;MAT333;ZANAHORIA BASTONES;3208-1;COMPONENTE;MATERIA PRIMA;0,00;4,98;0,00;4,50;1,49;6,71
05/01/2024;FV-8765;SEM095;SEMIELABORADO RABO ESTOFADO CON SETAS;020124;2.003,00;SEM099;SEMIELABORADO SALSA RABO CON SETAS;301223;SC;SEMIELABORADOS;0,05;108,21;0,07;131,13;3,39;445,02
05/01/2024;FV-8775;SCRE010;SECRETO IBÉRICO CON PX Y PATATAS CONFITADAS (1 ud);080124;432,00;SEM047;SC SEMIELABORADO DE SECRETO IBERICO CON PX;261223;SC;SEMIELABORADOS;0,77;330,88;0,77;331,00;1,73;574,22
05/01/2024;FV-8772;SCRE048;RABO DE VACUNO CON SETAS (1  x 350 gr);080124;504,00;SEM095;SEMIELABORADO RABO ESTOFADO CON SETAS;020124;SC;SEMIELABORADOS;1,00;503,97;1,00;504,00;2,34;1.180,97
05/01/2024;FV-8767;SEM082;SEMIELABORADO DE ARROZ DE VERDURAS SIN BOLETUS TROZO (BOLSA);030124;169,00;MAT287;PIMIENTO ROJO CONGELADO A DADOS;48892188;COMPONENTE;MATERIA PRIMA;0,74;125,06;0,62;104,40;1,77;185,00
05/01/2024;FV-8756;SCRE048;RABO DE VACUNO CON SETAS (1  x 350 gr);030124;648,00;SEM095;SEMIELABORADO RABO ESTOFADO CON SETAS;231223;SC;SEMIELABORADOS;0,17;110,98;0,17;111,00;2,36;261,55
