;Almacén;Artículo;Descripción;Stock Unidades;Ubicación;Lote/Nº Serie;Lote Interno;Fecha Entrada;Proveedor;Caducidad;Entradas Previstas;Salidas Previstas;Fecha Salida Prevista
False;NAVE 5;MAUX021;PALET LOGIFRUIT 81;0,00;EXPEDICIÓN;ALB-29511RIB23;2312-027;06/12/2023;LOGIFRUIT IBERIA SLU;;;;
False;NAVE 5;MAUX020;CAJA LOGIFRUIT MOD.612 INVENTARIABLE;0,00;EXPEDICIÓN;ALB-29511RIB23;2312-028;06/12/2023;LOGIFRUIT IBERIA SLU;;;;
False;GENERAL;MAUX020;CAJA LOGIFRUIT MOD.612 INVENTARIABLE;0,00;EXPEDICIÓN;ALB-29511RIB23;2312-028;06/12/2023;LOGIFRUIT IBERIA SLU;;;;
False;GENERAL;MAT318;SEMILLAS DE SESAMO;0,00;SECOS;051223;2312-029;07/12/2023;SALUD E IMAGINACION S.L. (ECO-SALIM);05/12/2025;;;
False;NAVE 5;MAT318;SEMILLAS DE SESAMO;0,00;secos;051223;2312-029;07/12/2023;SALUD E IMAGINACION S.L. (ECO-SALIM);05/12/2025;;;
False;GENERAL;MAT013;NATA LIQUIDA;0,00;MMPP REF;4035267;2312-030;07/12/2023;KAIKU Km0, S.L.;22/02/2024;;;
False;GENERAL;MAT370;CARNE DE CABEZA DE VACUNO;0,00;MMPP CONG;2123;2312-031;07/12/2023;INICIATIVAS COMERCIALES DADYMA,S.L.;23/11/2024;;;
False;CARBÓ;MAT370;CARNE DE CABEZA DE VACUNO;0,00;;2123;2312-031;07/12/2023;INICIATIVAS COMERCIALES DADYMA,S.L.;23/11/2024;;;
False;NAVE 5;MAT345;FONDO DE CARNE INTERAL;0,00;SECOS;ALB-300037937;2312-032;11/12/2023;INTERAL SA;01/07/2025;;;
False;GENERAL;MAT345;FONDO DE CARNE INTERAL;0,00;SECOS;ALB-300037937;2312-032;11/12/2023;INTERAL SA;01/07/2025;;;
False;GENERAL;MAT326;CORDERO LECHAL (CUELLO);0,00;;F-2313799;2312-034;11/12/2023;MORALEJO SELECCION SLU;22/05/2025;;;
False;GENERAL;MAT379;PAN BRIOCHE;0,00;MMPP REF;01423335;2312-035;11/12/2023;NORAC FOODS SPAIN, SLU;30/01/2024;;;
False;GENERAL;MAT056;PATATA PANADERA;0,00;MMPP REF;90-2;2312-036;12/12/2023;PATATAS PELADAS GILFA S.L.;16/12/2023;;;
False;NAVE 5;MAUX021;PALET LOGIFRUIT 81;0,00;EXPEDICIÓN;ALB-30034RIB23;2312-037;12/12/2023;LOGIFRUIT IBERIA SLU;;;;
False;GENERAL;MAUX020;CAJA LOGIFRUIT MOD.612 INVENTARIABLE;0,00;EXPEDICIÓN;ALB-30034RIB23;2312-038;12/12/2023;LOGIFRUIT IBERIA SLU;;;;
False;NAVE 5;MAUX020;CAJA LOGIFRUIT MOD.612 INVENTARIABLE;0,00;EXPEDICIÓN;ALB-30034RIB23;2312-038;12/12/2023;LOGIFRUIT IBERIA SLU;;;;
False;GENERAL;MAT344;ARROZ VAPORIZADO S.25 KG;0,00;SECOS;301023/301123;2312-039;12/12/2023;MAICERIAS ESPAÑOLAS SA (DACSA);30/10/2025;;;
False;GENERAL / 2;MAT344;ARROZ VAPORIZADO S.25 KG;0,00;EXPEDICIÓN;301023/301123;2312-039;12/12/2023;MAICERIAS ESPAÑOLAS SA (DACSA);30/10/2025;;;
False;GENERAL;MAT154;MARGARINA SUNORO CREMA CJ 20KG;0,00;MMPP REF;23-11185;2312-040;13/12/2023;GRACOMSA ALIMENTARIA;27/08/2024;;;
False;CARBÓ;MAT042;CARRILLERA DE VACUNO INTERNA;0,00;;ALB-18183;2312-041;13/12/2023;ROCA SELECTES FOODS, SL;03/04/2025;;;
False;GENERAL;MAT042;CARRILLERA DE VACUNO INTERNA;0,00;MMPP CONG;ALB-18183;2312-041;13/12/2023;ROCA SELECTES FOODS, SL;03/04/2025;;;
False;GENERAL;MAT290;SECRETO DE CERDO IBERICO  BARRIGA ARROCES;0,00;MMPP CONG;338;2312-042;13/12/2023;PRODUCTOS IBERICOS CALDERON Y RAMOS SL;03/06/2025;;;
False;GENERAL;MAT174;CODILLO DE CERDO CON PIEL;0,00;MMPP CONG;ES11/3463;2312-043;13/12/2023;INICIATIVAS COMERCIALES DADYMA,S.L.;05/12/2024;;;
False;GENERAL;MAT268;TROZOS DE SALMON ATLANTICO CONGELADO;22,50;MMPP CONG;029154;2312-044;13/12/2023;SEAFOOD SALES APS;14/09/2025;;;
